New Chord Number	Difficulty Rating	No of notes	No of harmonics	Harmonic ratio	OCTAVE (1= lowest, 5=highest)					
1	8	4	0	0	1	3	3	4	0	"<e,\6 e'\5 e'\4 e''\1>"
2	8	3	0	0	3	3	4	0	0	"<e'\5 e'\4 e''\1 >"
3	9	3	0	0	2	3	4	0	0	"<e\6 e'\5 e''\2 >"
4	7	3	0	0	3	4	3	0	0	"<e'\5 e''\2 e'\1 >"
5	7	3	0	0	2	4	4	0	0	"<e\6 e''\2 e''\1 >"
6	7	3	0	0	2	3	4	0	0	"<e\6 e'\4 e''\1 >"
7	7	3	0	0	3	3	4	0	0	"<e'\4 e'\3 e''\1 >"
8	7	3	0	0	2	2	4	0	0	"<e\6 e\5 e''\1 >"
9	8	4	0	0	1	2	2	3	0	"<e,\6 e\5 e\4 e'\2>"
10	8	5	0	0	1	2	2	3	3	"<e,\6 e\5 e\4 e'\2 e'\1 >
11	8	4	0	0	2	2	3	3	0	"<e\5 e\4 e'\2 e'\1>"
12	7	3	0	0	2	3	3	0	0	"<e\6 e'\5 e'\4 >"
13	7	3	0	0	2	3	3	0	0	"<e\5 e'\4 e'\1 >"
14	7	3	0	0	2	3	4	0	0	"<e\6 e'\3 e''\2 >"
15	8	4	1	0.25	1	3	3	4	0	"<e,\6 e'\5 e'\4 e''\harmonic\1>"
16	8	4	1	0.25	2	3	3	3	0	"<< { \voiceOne <e\6 e'\harmonic\5 e'\4>X} \new Voice {\voiceTwo \thirdnote <e'\1>X} >>"
17	8	4	1	0.25	2	3	4	3	0	"<e\6 e'\harmonic\5 e''\2 e'\1>"
18	8	4	1	0.25	3	2	3	3	0	"<e\harmonic\5 e\4 e'\2 e'\1>"
19	8	4	1	0.25	3	3	4	3	0	"<< { \voiceOne <e'\harmonic\5 e'\4 e''\2>X} \new Voice {\voiceTwo \thirdnote <e'\1>X} >>"
20	8	4	1	0.25	3	3	4	4	0	"<e'\harmonic\5 e'\4 e''\2 e''\1>"
21	7	4	1	0.25	1	3	3	4	0	"<e,\6 e'\4 e'\3 e''\harmonic\1>"
22	8	3	1	0.3333333333	2	2	4	0	0	"<e\6 e\5 e''\harmonic\1 >"
23	8	3	1	0.3333333333	2	3	3	0	0	"<e\harmonic\6 e'\5 e'\4 >"
24	8	3	1	0.3333333333	2	3	4	0	0	"<e\6 e'\4 e''\harmonic\1 >"
25	8	3	1	0.3333333333	2	3	4	0	0	"<e\harmonic\6 e'\4 e''\1 >"
26	8	3	1	0.3333333333	2	3	4	0	0	"<e\6 e\harmonic\5 e''\1 >"
27	8	3	1	0.3333333333	2	4	4	0	0	"<e\6 e''\2 e''\harmonic\1 >"
28	8	3	1	0.3333333333	3	3	4	0	0	"<e'\4 e'\3 e''\harmonic\1 >"
29	8	3	1	0.3333333333	3	2	3	0	0	"<e\harmonic\5 e\4 e'\2 >"
30	8	4	2	0.5	2	2	3	4	0	"<e\harmonic\6 e\5 e'\3 e''\harmonic\1>"
31	8	4	2	0.5	2	3	4	3	0	"<e\harmonic\6 e'\harmonic\5 e''\2 e'\1>"
32	8	4	2	0.5	3	3	4	4	0	"<e'\harmonic\5 e'\4 e''\2 e''\harmonic\1>"
33	7	2	0	0	4	3	0	0	0	"<e''\1 e'\2  >"
34	1	1	0	0	1	0	0	0	0	"<e,\6   >"
35	1	1	0	0	2	0	0	0	0	"<e\6   >"
36	1	1	0	0	2	0	0	0	0	"<e\5   >"
37	1	1	0	0	2	0	0	0	0	"<e\4   >"
38	1	2	0	0	2	1	0	0	0	"<e\5 e,\6  >"
39	1	2	0	0	2	1	0	0	0	"<e\4 e,\6  >"
40	1	2	0	0	3	1	0	0	0	"<e'\4 e,\6  >"
41	1	2	0	0	3	1	0	0	0	"<e'\3 e,\6  >"
42	1	2	0	0	3	1	0	0	0	"<e'\2 e,\6  >"
43	1	2	0	0	3	1	0	0	0	"<e'\1 e,\6  >"
44	1	1	0	0	4	0	0	0	0	"<e''\1   >"
45	2	3	0	0	1	2	3	0	0	"<e,\6 e\5 e'\1 >"
46	2	3	0	0	1	2	3	0	0	"<e,\6 e\4 e'\1 >"
47	2	4	0	0	1	2	3	3	0	"<e,\6 e\4 e'\2 e'\1>"
48	2	3	0	0	1	3	3	0	0	"<e,\6 e'\3 e'\1 >"
49	2	3	0	0	1	3	3	0	0	"<e,\6 e'\2 e'\1 >"
50	2	3	1	0.3333333333	1	3	3	0	0	"<e,\6 e\harmonic\5 e'\1 >"
51	2	2	1	0.5	2	2	0	0	0	"<e\5 e\harmonic\6  >"
52	2	2	1	0.5	2	3	0	0	0	"<e\5 a,\harmonic\6  >"
53	2	2	1	0.5	2	3	0	0	0	"<e\4 a,\harmonic\6  >"
54	2	3	0	0	2	3	3	0	0	"<e\5 e'\3 e'\1 >"
55	2	2	0	0	3	1	0	0	0	"<e'\5 e,\6  >"
56	2	2	0	0	3	4	0	0	0	"<e'\1 e''\2  >"
57	2	2	0	0	4	2	0	0	0	"<e''\2 e\6  >"
58	2	2	0	0	4	2	0	0	0	"<e''\1 e\6  >"
59	2	2	1	0.5	5	3	0	0	0	"<a'\harmonic\1 e'\2  >"
60	2	2	1	0.5	4	2	0	0	0	"<e''\1 e\harmonic\6  >"
61	2	2	1	0.5	4	3	0	0	0	"<e''\1 e\harmonic\5  >"
62	2	1	0	0	4	0	0	0	0	"<e''\2   >"
63	1	2	0	0	4	1	0	0	0	"<e''\1 e,\6  >"
64	2	2	0	0	4	1	0	0	0	"<e''\2 e,\6  >"
65	3	3	2	0.6666666667	1	3	4	0	0	"<e,\6 e\harmonic\5 e''\harmonic\1 >"
66	5	3	2	0.6666666667	1	3	4	0	0	"<e,\6 e'\harmonic\5 e''\harmonic\1 >"
67	3	3	2	0.6666666667	2	3	3	0	0	"<e\harmonic\6 e\harmonic\5 e'\1 >"
68	4	3	2	0.6666666667	2	3	3	0	0	"<e\harmonic\6 e\harmonic\5 e'\3 >"
69	4	3	2	0.6666666667	2	3	3	0	0	"<e\harmonic\6 e'\harmonic\5 e'\1 >"
70	4	3	2	0.6666666667	3	3	4	0	0	"<e\harmonic\5 e'\3 e''\harmonic\1 >"
